key,en,mn
meta.title,E & S Discovery Mongolia — Private Mongolia Travel & Tours,"E & S Discovery Mongolia — Монголын хувийн аялал, тур"
meta.description,"Curated private journeys and small group tours through Mongolia's nomadic culture, endless steppes and remote landscapes — crafted by trusted local experts.","Монголын нүүдэлчин соёл, төгсгөлгүй тал нутаг, алслагдсан байгалиар дамжуулсан хувийн болон бага бүлгийн аялал — итгэмжлэгдсэн орон нутгийн мэргэжилтнүүдээр зохион байгуулагдсан."
common.read_more,Read more,Дэлгэрэнгүй
common.read_less,Read less,Хураах
common.save,Save,Хадгалах
common.share,Share,Хуваалцах
common.close,Close,Хаах
common.menu,Menu,Цэс
common.subscribe,Subscribe,Бүртгүүлэх
common.from,from,эхлэх үнэ
common.per_person,/ person,/ хүн
common.sending,Sending…,Илгээж байна…
common.error_generic,Something went wrong — please try again.,Ямар нэг зүйл буруу боллоо — дахин оролдоно уу.
common.selected,Selected,Сонгогдсон
common.select,Select,Сонгох
nav.tours,Tours,Тур
nav.aboutMongolia,About Mongolia,Монголын тухай
nav.airport,Airport,Онгоцны буудал
nav.carRental,Car Rental,Машин түрээс
nav.journal,Journal,Блог
nav.partners,Partners,Хамтрагчид
nav.reviews,Reviews,Сэтгэгдэл
nav.about,About,Бидний тухай
nav.contact,Contact,Холбоо барих
nav.bookCta,Book a Trip,Захиалах
nav.share,Share a Tour,Аялал хуваалцах
hero.eyebrow,Experience the Last True Wilderness,Сүүлийн жинхэнэ зэрлэг байгалийг мэдрэ
hero.title,Experience Mongolia with Trusted Local Experts Since 2004,Монгол — Энгийнээс давсан газар
hero.subtitle,Private journeys & small group tours through Mongolia’s nomadic culture and remote landscapes — crafted by trusted local experts since 2004.,"Төгсгөлгүй тал нутаг, эртний уламжлал, гайхамшигт байгалиар дамжуулсан хувийн аялал."
hero.cta_explore,Explore Journeys,Аяллуудыг үзэх
hero.cta_film,Watch Film,Кино үзэх
hero.scroll,Scroll to Discover,Доош гүйлгэн нээ
search.destination_label,Choose your destination?,Хаашаа аялахыг хүсч байна вэ?
search.destination_placeholder,Select destination,Аялал газар сонгох
search.duration_label,Duration,Хугацаа
search.duration_placeholder,Any duration,Ямар ч хугацаа
search.style_label,Travel Style,Аяллын хэлбэр
search.style_placeholder,Any style,Ямар ч хэлбэр
search.cta,Explore,Хайх
search.destinations[0],Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн
search.destinations[1],Gobi Desert,Говь цөл
search.destinations[2],Khuvsgul Lake,Хөвсгөл нуур
search.destinations[3],Altai Mountains,Алтайн нуруу
search.destinations[4],Khustain Nuruu,Хустайн Нуруу
search.durations[0],3–5 days,3–5 өдөр
search.durations[1],6–9 days,6–9 өдөр
search.durations[2],10–14 days,10–14 өдөр
search.durations[3],15+ days,15+ өдөр
search.styles[0],Private Tour,Хувийн тур
search.styles[1],Luxury Camp,Тансаг лагерь
search.styles[2],Cultural Journey,Соёлын аялал
search.styles[3],Adventure,Адал явдал
search.styles[4],Photography,Гэрэл зургийн аялал
journeys.eyebrow,Featured Journeys,Онцлох аяллууд
journeys.title,Handcrafted Experiences,Гар аргаар бүтээсэн туршлагууд
journeys.view_all,View All Journeys,Бүх аяллыг үзэх
journeys.days_label,Days,Өдөр
journeys.items[0].id,terelj,terelj
journeys.items[0].days,2,2
journeys.items[0].title,Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн
journeys.items[0].description,"Granite mountains, nomadic families and serene nature.","Боржин чулуун уулс, нүүдэлчин гэр бүлүүд, тайван байгаль."
journeys.items[0].badge,Private Tour,Хувийн тур
journeys.items[0].rating,5,5
journeys.items[0].image,/images/terelj.jpg,/images/terelj.jpg
journeys.items[1].id,gobi,gobi
journeys.items[1].days,7,7
journeys.items[1].title,Gobi Expedition,Говийн экспедиц
journeys.items[1].description,"Vast deserts, dramatic canyons and starlit nights.","Өргөн цөл, гайхамшигт хавцал, одтой шөнө."
journeys.items[1].badge,Luxury Camp,Тансаг лагерь
journeys.items[1].rating,5,5
journeys.items[1].image,/images/gobi.jpg,/images/gobi.jpg
journeys.items[2].id,nomadic,nomadic
journeys.items[2].days,5,5
journeys.items[2].title,Nomadic Heritage,Нүүдэлчний өв
journeys.items[2].description,Live with nomad families and discover ancient traditions.,"Нүүдэлчин гэр бүлтэй амьдарч, эртний уламжлалыг нээ."
journeys.items[2].badge,Cultural Journey,Соёлын аялал
journeys.items[2].rating,5,5
journeys.items[2].image,/images/nomadic.jpg,/images/nomadic.jpg
journeys.items[3].id,khuvsgul,khuvsgul
journeys.items[3].days,6,6
journeys.items[3].title,Khuvsgul Lake,Хөвсгөл нуур
journeys.items[3].description,Crystal-clear sacred lake surrounded by ancient taiga forest.,Эртний тайгын ойгоор хүрээлэгдсэн болор цэлгэр ариун нуур.
journeys.items[3].badge,Adventure,Адал явдал
journeys.items[3].rating,5,5
journeys.items[3].image,/images/khuvsgul.jpg,/images/khuvsgul.jpg
tripadvisor.description,"We have been helping people the world over to enjoy unforgettable adventures to our homeland, and we do it all with expertise and passion.",Бид дэлхий даяарх хүмүүст эх нутагтаа мартагдашгүй адал явдал бэлэглэж ирсэн бөгөөд үүнийг мэргэжил чадвар болон хүсэл тэмүүллээрээ хийдэг.
partners.eyebrow,Recommended Partners,Санал болгож буй хамтрагчид
partners.title,Our Trusted Partners,Бидний итгэмжлэгдсэн хамтрагчид
partners.cta,Visit,Зочлох
partnerDetail.eyebrow,Recommended partner,Санал болгож буй хамтрагч
partnerDetail.offerings,What they offer,Тэдний санал болгож буй зүйлс
partnerDetail.testimonialEyebrow,In their words,Тэдний хэлснээр
partnerDetail.ctaEyebrow,Ready to visit?,Зочлохыг хүсэж байна уу?
partnerDetail.ctaBook,Book a Trip,Захиалах
map.eyebrow,Mongolia is Different,Монгол өөр
map.title_line1,Not Every Journey,Бүх аялал чамайг
map.title_line2,Changes You.,Өөрчилдөггүй.
map.title_italic,This One Will.,Энэ нь өөрчилнө.
map.description,"From the moment you arrive, we take care of everything. You just show up — and we handle the rest with heart and precision.",Ирсэн цагаасаа эхлэн бид бүгдийг зохицуулна. Та зүгээр ирэх л хэрэгтэй — бусдыг нь бид зүрх сэтгэлээр шийдвэрлэнэ.
map.cta,About Us,Бидний тухай
map.hover_hint,Hover a Destination,Газар дээр хулганаа аваачна уу
map.destinations[0].id,khuvsgul,khuvsgul
map.destinations[0].name,Khuvsgul,Хөвсгөл
map.destinations[0].subtitle,Northern Lakes,Хойд нуурууд
map.destinations[0].x,52,52
map.destinations[0].y,18,18
map.destinations[1].id,khustain,khustain
map.destinations[1].name,Khustain,Хустай
map.destinations[1].subtitle,Wild Horses,Зэрлэг морь
map.destinations[1].x,28,28
map.destinations[1].y,44,44
map.destinations[2].id,terelj,terelj
map.destinations[2].name,Terelj,Тэрэлж
map.destinations[2].subtitle,Mountains & Nature,Уул & Байгаль
map.destinations[2].x,72,72
map.destinations[2].y,42,42
map.destinations[3].id,gobi,gobi
map.destinations[3].name,Gobi,Говь
map.destinations[3].subtitle,Desert & Dunes,Цөл & Элсэн манхан
map.destinations[3].x,58,58
map.destinations[3].y,65,65
map.destinations[4].id,altai,altai
map.destinations[4].name,Altai,Алтай
map.destinations[4].subtitle,Western Mongolia,Баруун Монгол
map.destinations[4].x,22,22
map.destinations[4].y,68,68
why.eyebrow,Why Travel With Us,Яагаад бидэнтэй аялах вэ
why.items[0].icon,compass,compass
why.items[0].title,Tailor-made Journeys,Захиалгат аялал
why.items[0].description,Every itinerary is custom-designed around you.,Бүх хөтөлбөр таны хүсэлд тулгуурлан боловсруулагдана.
why.items[1].icon,users,users
why.items[1].title,Local Experts,Орон нутгийн мэргэжилтнүүд
why.items[1].description,Born and raised in Mongolia. We know it best.,Монголд төрж өссөн. Бид үүнийг хамгийн сайн мэднэ.
why.items[2].icon,mountain,mountain
why.items[2].title,Private Experiences,Хувийн туршлага
why.items[2].description,No crowded buses. Just you and the wilderness.,Натовчлол байхгүй. Зөвхөн та болон зэрлэг байгаль.
why.items[3].icon,leaf,leaf
why.items[3].title,Sustainable Tourism,Тогтвортой аялал жуулчлал
why.items[3].description,Supporting local communities and preserving our land.,"Орон нутгийн нийгэмлэгийг дэмжиж, нутгийг хамгаалах."
reviews.eyebrow,Verified everywhere,Хаа сайгүй баталгаажсан
reviews.title,Trusted by Travelers,Дэлхий даяарх аялагчид
reviews.title_italic,Worldwide,бидэнд итгэдэг
reviews.reviews_label,reviews,сэтгэгдэл
reviews.cta,See All Reviews,Бүх сэтгэгдлийг үзэх
reviewsPage.eyebrow,Traveler reviews,Аялагчдын сэтгэгдэл
reviewsPage.travelers_label,travelers,аялагч
reviewsPage.title_suffix,one Mongolia.,нэг Монгол.
reviewsPage.reviews_label,reviews,сэтгэгдэл
reviewsPage.all_tours,All Tours,Бүх аялал
reviewsPage.empty,No reviews yet.,Одоогоор сэтгэгдэл алга.
reviewsPage.prev,← Previous,← Өмнөх
reviewsPage.next,Next →,Дараах →
quote.line1,Silence,Чимээгүй байдал
quote.line2,has,нь
quote.line3,a sound.,дуутай.
quote.cta,Discover Mongolia,Монголыг нээ
journal.eyebrow,Journey Inspiration,Аяллын урам зориг
journal.view_all,View All Articles,Бүх нийтлэлийг үзэх
journal.items[0].id,best-time,best-time
journal.items[0].category,Travel Guide,Аяллын гарын авлага
journal.items[0].title,When is the Best Time to Visit Mongolia?,Монгол руу аялахад хамгийн тохиромжтой цаг хэзээ вэ?
journal.items[0].read_time,6,6
journal.items[0].image,/images/article-1.jpg,/images/article-1.jpg
journal.items[1].id,10-things,10-things
journal.items[1].category,Culture,Соёл
journal.items[1].title,10 Things You Didn't Know About Mongolia,Монголын тухай мэдэхгүй байсан 10 зүйл
journal.items[1].read_time,7,7
journal.items[1].image,/images/article-2.jpg,/images/article-2.jpg
journal.items[2].id,horse-trekking,horse-trekking
journal.items[2].category,Adventure,Адал явдал
journal.items[2].title,Horse Trekking Guide: Tips for Your Journey,Морин аялалын гарын авлага: Аяллын зөвлөмжүүд
journal.items[2].read_time,5,5
journal.items[2].image,/images/article-3.jpg,/images/article-3.jpg
journal.read_label,min read,мин унших
footer.tagline,"Private, tailor-made journeys across the last great wilderness. Ulaanbaatar, Mongolia.","Сүүлийн жинхэнэ зэрлэг байгаль дээрх хувийн, тусгайлан бэлтгэсэн аялал. Улаанбаатар, Монгол."
footer.exploreHeading,Explore,Үзэх
footer.companyHeading,Company,Компани
footer.links.tours,Tours,Тур
footer.links.aboutMongolia,About Mongolia,Монголын тухай
footer.links.airportTransfer,Airport transfer,Онгоцны буудлын үйлчилгээ
footer.links.carRental,Car rental,Машин түрээс
footer.links.partners,Partners,Хамтрагчид
footer.links.reviews,Reviews,Сэтгэгдэл
footer.links.aboutUs,About us,Бидний тухай
footer.links.journal,Journal,Блог
footer.links.contact,Contact,Холбоо барих
footer.newsletter.heading,Newsletter,Мэдээлэл авах
footer.newsletter.text,"Stories from the steppe, a few times a year.",Тал нутгийн түүхүүдийг жилд хэдэн удаа хүлээн аваарай.
footer.newsletter.placeholder,Email address,И-мэйл хаяг
footer.copyright,© 2026 E and S Discovery Mongolia. All rights reserved.,© 2026 E and S Discovery Mongolia. Бүх эрх хуулиар хамгаалагдсан.
tourDetail.breadcrumb_tours,Tours,Тур
tourDetail.days_label,days,өдөр
tourDetail.nights_label,nights,шөнө
tourDetail.max_travellers,Max,Дээд тал нь
tourDetail.highlights,Highlights,Онцлох зүйлс
tourDetail.good_to_know,Good to know,Мэдэж байх зүйлс
tourDetail.day_by_day,Day by day,Өдөр тутмын хөтөлбөр
tourDetail.day_label,Day,Өдөр
tourDetail.activities,Activities,Үйл ажиллагаа
tourDetail.accommodation,Accommodation,Байрлах газар
tourDetail.meals,Meals,Хоол
tourDetail.traveller_singular,traveller,аялагч
tourDetail.traveller_plural,travellers,аялагч
tourDetail.book_now,Book now,Захиалах
tourDetail.or,or,эсвэл
tourDetail.see_open_departures,see open departures,нээлттэй аяллуудыг харах
tourDetail.free_cancellation,Free cancellation up to 30 days before,30 хоногийн өмнө үнэгүй цуцлах боломжтой
tourDetail.whats_included,What's included,Юу багтсан бэ
tourDetail.you_may_also_like,You may also like,Танд таалагдаж магадгүй
tourDetail.view_all_tours,View all tours →,Бүх аяллыг үзэх →
toursPage.meta_title,Our Tours — E & S Discovery Mongolia,Бидний аяллууд — E & S Discovery Mongolia
toursPage.meta_description,"Small-group and private expeditions across Mongolia, shaped by the land and the people who know it best.",Монголыг хамгийн сайн мэддэг хүмүүсийн бүтээсэн бага бүлгийн болон хувийн экспедицүүд.
toursPage.hero_eyebrow,Journeys across Mongolia,Монгол даяар аялал
toursPage.hero_title_prefix,Our,Бидний
toursPage.hero_title_italic,Tours,аяллууд
toursPage.hero_subtext,Small-group and private expeditions shaped by the land and the people who know it best. Find the journey that's yours.,"Газар нутаг, түүнийг хамгийн сайн мэддэг хүмүүсийн бүтээсэн бага бүлгийн болон хувийн экспедицүүд. Танд тохирох аяллаа ол."
toursPage.journeys_found,Journeys found,аялал олдлоо
toursPage.duration_chips[0],1–5 days,1–5 өдөр
toursPage.duration_chips[1],6–10 days,6–10 өдөр
toursPage.duration_chips[2],11 days +,11+ өдөр
toursPage.region_chips[0],Gobi,Говь
toursPage.region_chips[1],Central,Төв
toursPage.region_chips[2],North,Хойд
toursPage.region_chips[3],West,Баруун
toursPage.type_chips[0],Cultural,Соёлын
toursPage.type_chips[1],Adventure,Адал явдал
toursPage.type_chips[2],Festival,Наадам
toursPage.type_chips[3],Group,Бүлгийн
toursPage.sort_chips[0],Top rated,Шилдэг үнэлгээтэй
toursPage.sort_chips[1],Price: low to high,Үнэ: багаас их рүү
toursPage.sort_chips[2],Price: high to low,Үнэ: ихээс бага руу
toursPage.sort_chips[3],Duration,Үргэлжлэх хугацаа
toursPage.filters,Filters,Шүүлтүүр
toursPage.clear_all,Clear all,Бүгдийг арилгах
toursPage.duration,Duration,Үргэлжлэх хугацаа
toursPage.region,Region,Бүс нутаг
toursPage.trip_type,Trip type,Аяллын төрөл
toursPage.empty,No tours match those filters yet. Try clearing a filter.,Энэ шүүлтүүрт тохирох аялал алга байна. Шүүлтүүрээ арилгаад дахин оролдоно уу.
toursPage.cta_eyebrow,Can't find your journey?,Хүссэн аяллаа олсонгүй юу?
toursPage.cta_heading_prefix,Every trip can be,Бүх аяллыг
toursPage.cta_heading_italic,tailor-made.,танд тохируулан бүтээж болно.
toursPage.cta_button,Plan a custom trip →,Тусгай аялал төлөвлөх →
journalPage.meta_title,The Journal — Stories from the Steppe — E & S Discovery Mongolia,Блог — Тал нутгийн түүхүүд — E & S Discovery Mongolia
journalPage.meta_description,"Guides, culture, tips and stories from the steppe, the Gobi and the taiga.","Тал нутаг, Говь, тайгын тухай гарын авлага, соёл, зөвлөмж, түүхүүд."
journalPage.hero_eyebrow,Stories from the steppe,Тал нутгийн түүхүүд
journalPage.hero_title_prefix,The,Бидний
journalPage.hero_title_italic,Journal,Блог
journalPage.category_all,All,Бүгд
journalPage.categories.guides,Guides,Гарын авлага
journalPage.categories.culture,Culture,Соёл
journalPage.categories.tips,Tips,Зөвлөмж
journalPage.categories.stories,Stories,Түүхүүд
journalPage.categories.food,Food,Хоол
journalPage.categories.adventure,Adventure,Адал явдал
journalPage.featured_prefix,Featured,Онцлох
journalPage.read_article,Read article →,Нийтлэл унших →
journalPage.load_more,Load more articles,Илүү ихийг харах
journalDetail.share,↗ Share,↗ Хуваалцах
journalDetail.save,♡ Save,♡ Хадгалах
journalDetail.cta_eyebrow,See it yourself,Өөрөө үзээрэй
journalDetail.cta_heading_prefix,Tours that match this,Энэ түүхтэй тохирох
journalDetail.cta_heading_italic,guide.,аяллууд.
journalDetail.browse_tours,Browse tours →,Аяллуудыг үзэх →
journalDetail.keep_reading,Keep reading,Цааш унших
bookPage.meta_title,Book Your Journey — E & S Discovery Mongolia,Аяллаа захиалах — E & S Discovery Mongolia
bookPage.meta_description,A single-page guest checkout for your Mongolia journey — no account needed.,Монгол руу хийх аяллынхаа захиалгыг нэг хуудсанд — бүртгэл шаардлагагүй.
bookPage.step_trip,Trip,Аялал
bookPage.step_traveller,Traveller,Аялагч
bookPage.step_payment,Payment,Төлбөр
bookPage.heading_prefix,Book your,Аяллаа
bookPage.heading_italic,journey,захиалах
bookingForm.no_tours,No tours available to book right now.,Одоогоор захиалах боломжтой аялал алга байна.
bookingForm.success_heading,Booking request sent,Захиалгын хүсэлт илгээгдлээ
bookingForm.confirmation_label,Confirmation:,Баталгаажуулах дугаар:
bookingForm.success_message_prefix,Our team will follow up by email to confirm your,Манай баг таны
bookingForm.success_message_suffix,booking.,захиалгыг баталгаажуулахаар и-мэйлээр холбогдоно.
bookingForm.section1,1 · Trip details,1 · Аяллын мэдээлэл
bookingForm.tour_label,Tour,Аялал
bookingForm.date_label,Date,Огноо
bookingForm.travellers_label,Travellers,Аялагчид
bookingForm.section2,2 · Lead traveller,2 · Тэргүүлэх аялагч
bookingForm.name_placeholder,Full name,Овог нэр
bookingForm.email_placeholder,Email,И-мэйл
bookingForm.country_placeholder,Country,Улс
bookingForm.phone_placeholder,Phone,Утас
bookingForm.section3,3 · Add-ons,3 · Нэмэлт үйлчилгээ
bookingForm.section4,4 · Notes & requests,4 · Тэмдэглэл & хүсэлт
bookingForm.notes_placeholder,"Dietary needs, accessibility, custom itinerary…","Хоолны хэрэгцээ, хүртээмж, тусгай хөтөлбөр…"
bookingForm.adult_singular,adult,хүн
bookingForm.adult_plural,adults,хүн
bookingForm.order_summary,Order summary,Захиалгын дүн
bookingForm.total,Total,Нийт
bookingForm.deposit_label,Deposit today · 20%,Өнөөдрийн урьдчилгаа · 20%
bookingForm.pay_deposit,Pay deposit →,Урьдчилгаа төлөх →
bookingForm.guest_checkout_note,No account needed · guest checkout,Бүртгэл шаардлагагүй · зочны захиалга
shareATour.meta_title,Share a Tour — Open Departures — E & S Discovery Mongolia,Аялал хуваалцах — Нээлттэй аяллууд — E & S Discovery Mongolia
shareATour.meta_description,Join an open group departure — pick a date on the calendar and travel alongside fellow guests.,Нээлттэй бүлгийн аялалд нэгдээрэй — хуанлиас огноогоо сонгоод бусад зочидтой хамт аялаарай.
departureCalendar.weekdays[0],Mon,Да
departureCalendar.weekdays[1],Tue,Мя
departureCalendar.weekdays[2],Wed,Лх
departureCalendar.weekdays[3],Thu,Пү
departureCalendar.weekdays[4],Fri,Ба
departureCalendar.weekdays[5],Sat,Бя
departureCalendar.weekdays[6],Sun,Ня
departureCalendar.regions[0],All tours,Бүх аялал
departureCalendar.regions[1],Gobi,Говь
departureCalendar.regions[2],Central,Төв
departureCalendar.regions[3],North,Хойд
departureCalendar.regions[4],West,Баруун
departureCalendar.join_group_departure,Join a group departure,Бүлгийн аялалд нэгдэх
departureCalendar.heading_prefix,Share a,Аялал
departureCalendar.heading_italic,tour,хуваалцах
departureCalendar.prev_month,Previous month,Өмнөх сар
departureCalendar.next_month,Next month,Дараах сар
departureCalendar.filter,Filter,Шүүлтүүр
departureCalendar.full,Full,Дүүрсэн
departureCalendar.open,Open,Нээлттэй
departureCalendar.select_day,Select a highlighted day to see its departure.,Аяллыг харахын тулд онцолсон өдрийг сонгоно уу.
departureCalendar.no_departures,No departures on this day yet.,Энэ өдөр одоогоор аялал алга байна.
departureCalendar.departure_count_singular,departure this day,аялал энэ өдөр
departureCalendar.departure_count_plural,departures this day,аялал энэ өдөр
departureCalendar.from,from,эхлэх үнэ
departureCalendar.per_person,/ person,/ хүн
departureCalendar.fully_booked,Fully booked,Бүрэн захиалагдсан
departureCalendar.join_departure,Join this departure →,Энэ аялалд нэгдэх →
departureCalendar.confirmed_note,Confirmed to run · guaranteed departure,Баталгаажсан · заавал явна
departureCalendar.days_label,days,өдөр
departureCalendar.small_group_of,small group of,"бага бүлэг, дээд тал нь"
departureCalendar.english_speaking_guide,English-speaking guide,англи хэлтэй хөтөч
about.meta_title,About Us — A Local Team Born on the Steppe — E & S Discovery Mongolia,Бидний тухай — Тал нутагт төрсөн орон нутгийн баг — E & S Discovery Mongolia
