key,en,mn,ko,mn_new,ko_new,notes
meta.title,E & S Discovery Mongolia — Private Mongolia Travel & Tours,"E & S Discovery Mongolia — Монголын хувийн аялал, тур",E & S 디스커버리 몽골 — 프라이빗 몽골 여행 & 투어,,,
meta.description,"Curated private journeys and small group tours through Mongolia's nomadic culture, endless steppes and remote landscapes — crafted by trusted local experts.","Монголын нүүдэлчин соёл, төгсгөлгүй тал нутаг, алслагдсан байгалиар дамжуулсан хувийн болон бага бүлгийн аялал — итгэмжлэгдсэн орон нутгийн мэргэжилтнүүдээр зохион байгуулагдсан.","몽골의 유목 문화와 끝없는 초원, 오지 풍경을 신뢰할 수 있는 현지 전문가가 기획한 맞춤형 프라이빗 여행과 소규모 그룹 투어.",,,
common.read_more,Read more,Дэлгэрэнгүй,더 보기,,,
common.read_less,Read less,Хураах,간략히 보기,,,
common.save,Save,Хадгалах,저장,,,
common.share,Share,Хуваалцах,공유,,,
common.close,Close,Хаах,닫기,,,
common.menu,Menu,Цэс,메뉴,,,
common.subscribe,Subscribe,Бүртгүүлэх,구독,,,
common.from,from,эхлэх үнэ,부터,,,
common.per_person,/ person,/ хүн,/ 인,,,
common.sending,Sending…,Илгээж байна…,전송 중…,,,
common.error_generic,Something went wrong — please try again.,Ямар нэг зүйл буруу боллоо — дахин оролдоно уу.,문제가 발생했습니다 — 다시 시도해 주세요.,,,
common.selected,Selected,Сонгогдсон,선택됨,,,
common.select,Select,Сонгох,선택,,,
nav.tours,Tours,Тур,투어,,,
nav.aboutMongolia,About Mongolia,Монголын тухай,몽골 소개,,,
nav.airport,Airport,Онгоцны буудал,공항,,,
nav.carRental,Car Rental,Машин түрээс,렌터카,,,
nav.journal,Journal,Блог,저널,,,
nav.partners,Partners,Хамтрагчид,파트너,,,
nav.reviews,Reviews,Сэтгэгдэл,후기,,,
nav.about,About,Бидний тухай,회사 소개,,,
nav.contact,Contact,Холбоо барих,문의,,,
nav.bookCta,Book a Trip,Захиалах,여행 예약,,,
nav.share,Share a Tour,Аялал хуваалцах,투어 공유,,,
hero.eyebrow,Experience the Last True Wilderness,Сүүлийн жинхэнэ зэрлэг байгалийг мэдрэ,마지막 진정한 야생을 경험하다,,,
hero.title,Experience Mongolia with Trusted Local Experts Since 2004,Монгол — Энгийнээс давсан газар,2004년부터 신뢰할 수 있는 현지 전문가와 함께하는 몽골,,,
hero.subtitle,Private journeys & small group tours through Mongolia’s nomadic culture and remote landscapes — crafted by trusted local experts since 2004.,"Төгсгөлгүй тал нутаг, эртний уламжлал, гайхамшигт байгалиар дамжуулсан хувийн аялал.","2004년부터 신뢰할 수 있는 현지 전문가가 기획한, 몽골의 유목 문화와 오지 풍경을 만나는 프라이빗 여행 & 소규모 그룹 투어.",,,
hero.cta_explore,Explore Journeys,Аяллуудыг үзэх,여행 둘러보기,,,
hero.cta_film,Watch Film,Кино үзэх,영상 보기,,,
hero.scroll,Scroll to Discover,Доош гүйлгэн нээ,스크롤하여 더 보기,,,
search.destination_label,Choose your destination?,Хаашаа аялахыг хүсч байна вэ?,목적지를 선택하세요,,,
search.destination_placeholder,Select destination,Аялал газар сонгох,목적지 선택,,,
search.duration_label,Duration,Хугацаа,기간,,,
search.duration_placeholder,Any duration,Ямар ч хугацаа,기간 무관,,,
search.style_label,Travel Style,Аяллын хэлбэр,여행 스타일,,,
search.style_placeholder,Any style,Ямар ч хэлбэр,스타일 무관,,,
search.cta,Explore,Хайх,둘러보기,,,
search.destinations[0],Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн,테를지 국립공원,,,
search.destinations[1],Gobi Desert,Говь цөл,고비 사막,,,
search.destinations[2],Khuvsgul Lake,Хөвсгөл нуур,홉스골 호수,,,
search.destinations[3],Altai Mountains,Алтайн нуруу,알타이 산맥,,,
search.destinations[4],Khustain Nuruu,Хустайн Нуруу,후스타이 누루,,,
search.durations[0],3–5 days,3–5 өдөр,3–5일,,,
search.durations[1],6–9 days,6–9 өдөр,6–9일,,,
search.durations[2],10–14 days,10–14 өдөр,10–14일,,,
search.durations[3],15+ days,15+ өдөр,15일 이상,,,
search.styles[0],Private Tour,Хувийн тур,프라이빗 투어,,,
search.styles[1],Luxury Camp,Тансаг лагерь,럭셔리 캠프,,,
search.styles[2],Cultural Journey,Соёлын аялал,문화 여행,,,
search.styles[3],Adventure,Адал явдал,어드벤처,,,
search.styles[4],Photography,Гэрэл зургийн аялал,포토그래피,,,
journeys.eyebrow,Featured Journeys,Онцлох аяллууд,추천 여행,,,
journeys.title,Handcrafted Experiences,Гар аргаар бүтээсэн туршлагууд,정성껏 준비한 여행,,,
journeys.view_all,View All Journeys,Бүх аяллыг үзэх,모든 여행 보기,,,
journeys.days_label,Days,Өдөр,일,,,
journeys.items[0].id,terelj,terelj,terelj,,,
journeys.items[0].days,2,2,2,,,
journeys.items[0].title,Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн,테를지 국립공원,,,
journeys.items[0].description,"Granite mountains, nomadic families and serene nature.","Боржин чулуун уулс, нүүдэлчин гэр бүлүүд, тайван байгаль.","화강암 산과 유목민 가족, 고요한 자연.",,,
journeys.items[0].badge,Private Tour,Хувийн тур,프라이빗 투어,,,
journeys.items[0].rating,5,5,5,,,
journeys.items[0].image,/images/terelj.jpg,/images/terelj.jpg,/images/terelj.jpg,,,
journeys.items[1].id,gobi,gobi,gobi,,,
journeys.items[1].days,7,7,7,,,
journeys.items[1].title,Gobi Expedition,Говийн экспедиц,고비 원정,,,
journeys.items[1].description,"Vast deserts, dramatic canyons and starlit nights.","Өргөн цөл, гайхамшигт хавцал, одтой шөнө.","광활한 사막, 웅장한 협곡, 별이 쏟아지는 밤.",,,
journeys.items[1].badge,Luxury Camp,Тансаг лагерь,럭셔리 캠프,,,
journeys.items[1].rating,5,5,5,,,
journeys.items[1].image,/images/gobi.jpg,/images/gobi.jpg,/images/gobi.jpg,,,
journeys.items[2].id,nomadic,nomadic,nomadic,,,
journeys.items[2].days,5,5,5,,,
journeys.items[2].title,Nomadic Heritage,Нүүдэлчний өв,유목민의 유산,,,
journeys.items[2].description,Live with nomad families and discover ancient traditions.,"Нүүдэлчин гэр бүлтэй амьдарч, эртний уламжлалыг нээ.",유목민 가족과 함께 지내며 오랜 전통을 발견하세요.,,,
journeys.items[2].badge,Cultural Journey,Соёлын аялал,문화 여행,,,
journeys.items[2].rating,5,5,5,,,
journeys.items[2].image,/images/nomadic.jpg,/images/nomadic.jpg,/images/nomadic.jpg,,,
journeys.items[3].id,khuvsgul,khuvsgul,khuvsgul,,,
journeys.items[3].days,6,6,6,,,
journeys.items[3].title,Khuvsgul Lake,Хөвсгөл нуур,홉스골 호수,,,
journeys.items[3].description,Crystal-clear sacred lake surrounded by ancient taiga forest.,Эртний тайгын ойгоор хүрээлэгдсэн болор цэлгэр ариун нуур.,오래된 타이가 숲으로 둘러싸인 맑고 신성한 호수.,,,
journeys.items[3].badge,Adventure,Адал явдал,어드벤처,,,
journeys.items[3].rating,5,5,5,,,
journeys.items[3].image,/images/khuvsgul.jpg,/images/khuvsgul.jpg,/images/khuvsgul.jpg,,,
tripadvisor.description,"We have been helping people the world over to enjoy unforgettable adventures to our homeland, and we do it all with expertise and passion.",Бид дэлхий даяарх хүмүүст эх нутагтаа мартагдашгүй адал явдал бэлэглэж ирсэн бөгөөд үүнийг мэргэжил чадвар болон хүсэл тэмүүллээрээ хийдэг.,"저희는 전 세계 여행자들이 우리의 고향에서 잊지 못할 모험을 즐길 수 있도록 도와왔으며, 언제나 전문성과 열정으로 임하고 있습니다.",,,
partners.eyebrow,Recommended Partners,Санал болгож буй хамтрагчид,추천 파트너,,,
partners.title,Our Trusted Partners,Бидний итгэмжлэгдсэн хамтрагчид,신뢰하는 파트너,,,
partners.cta,Visit,Зочлох,방문하기,,,
partnerDetail.eyebrow,Recommended partner,Санал болгож буй хамтрагч,추천 파트너,,,
partnerDetail.offerings,What they offer,Тэдний санал болгож буй зүйлс,제공 서비스,,,
partnerDetail.testimonialEyebrow,In their words,Тэдний хэлснээр,고객의 이야기,,,
partnerDetail.ctaEyebrow,Ready to visit?,Зочлохыг хүсэж байна уу?,방문할 준비가 되셨나요?,,,
partnerDetail.ctaBook,Book a Trip,Захиалах,여행 예약,,,
map.eyebrow,Mongolia is Different,Монгол өөр,몽골은 다릅니다,,,
map.title_line1,Not Every Journey,Бүх аялал чамайг,모든 여행이,,,
map.title_line2,Changes You.,Өөрчилдөггүй.,당신을 바꾸진 않습니다.,,,
map.title_italic,This One Will.,Энэ нь өөрчилнө.,하지만 이 여행은 다릅니다.,,,
map.description,"From the moment you arrive, we take care of everything. You just show up — and we handle the rest with heart and precision.",Ирсэн цагаасаа эхлэн бид бүгдийг зохицуулна. Та зүгээр ирэх л хэрэгтэй — бусдыг нь бид зүрх сэтгэлээр шийдвэрлэнэ.,도착하는 순간부터 모든 것을 저희가 책임집니다. 당신은 그저 나타나기만 하면 됩니다 — 나머지는 저희가 정성과 정확함으로 처리합니다.,,,
map.cta,About Us,Бидний тухай,회사 소개,,,
map.hover_hint,Hover a Destination,Газар дээр хулганаа аваачна уу,목적지에 마우스를 올려보세요,,,
map.destinations[0].id,khuvsgul,khuvsgul,khuvsgul,,,
map.destinations[0].name,Khuvsgul,Хөвсгөл,홉스골,,,
map.destinations[0].subtitle,Northern Lakes,Хойд нуурууд,북부 호수,,,
map.destinations[0].x,52,52,52,,,
map.destinations[0].y,18,18,18,,,
map.destinations[1].id,khustain,khustain,khustain,,,
map.destinations[1].name,Khustain,Хустай,후스타이,,,
map.destinations[1].subtitle,Wild Horses,Зэрлэг морь,야생마,,,
map.destinations[1].x,28,28,28,,,
map.destinations[1].y,44,44,44,,,
map.destinations[2].id,terelj,terelj,terelj,,,
map.destinations[2].name,Terelj,Тэрэлж,테를지,,,
map.destinations[2].subtitle,Mountains & Nature,Уул & Байгаль,산과 자연,,,
map.destinations[2].x,72,72,72,,,
map.destinations[2].y,42,42,42,,,
map.destinations[3].id,gobi,gobi,gobi,,,
map.destinations[3].name,Gobi,Говь,고비,,,
map.destinations[3].subtitle,Desert & Dunes,Цөл & Элсэн манхан,사막과 사구,,,
map.destinations[3].x,58,58,58,,,
map.destinations[3].y,65,65,65,,,
map.destinations[4].id,altai,altai,altai,,,
map.destinations[4].name,Altai,Алтай,알타이,,,
map.destinations[4].subtitle,Western Mongolia,Баруун Монгол,서몽골,,,
map.destinations[4].x,22,22,22,,,
map.destinations[4].y,68,68,68,,,
why.eyebrow,Why Travel With Us,Яагаад бидэнтэй аялах вэ,저희와 함께해야 하는 이유,,,
why.items[0].icon,compass,compass,compass,,,
why.items[0].title,Tailor-made Journeys,Захиалгат аялал,맞춤형 여행,,,
why.items[0].description,Every itinerary is custom-designed around you.,Бүх хөтөлбөр таны хүсэлд тулгуурлан боловсруулагдана.,모든 일정은 당신을 위해 맞춤 설계됩니다.,,,
why.items[1].icon,users,users,users,,,
why.items[1].title,Local Experts,Орон нутгийн мэргэжилтнүүд,현지 전문가,,,
why.items[1].description,Born and raised in Mongolia. We know it best.,Монголд төрж өссөн. Бид үүнийг хамгийн сайн мэднэ.,몽골에서 나고 자란 저희가 가장 잘 압니다.,,,
why.items[2].icon,mountain,mountain,mountain,,,
why.items[2].title,Private Experiences,Хувийн туршлага,프라이빗 경험,,,
why.items[2].description,No crowded buses. Just you and the wilderness.,Натовчлол байхгүй. Зөвхөн та болон зэрлэг байгаль.,붐비는 버스는 없습니다. 오직 당신과 야생뿐입니다.,,,
why.items[3].icon,leaf,leaf,leaf,,,
why.items[3].title,Sustainable Tourism,Тогтвортой аялал жуулчлал,지속 가능한 관광,,,
why.items[3].description,Supporting local communities and preserving our land.,"Орон нутгийн нийгэмлэгийг дэмжиж, нутгийг хамгаалах.",지역 사회를 지원하고 우리 땅을 보전합니다.,,,
reviews.eyebrow,Verified everywhere,Хаа сайгүй баталгаажсан,검증된 후기,,,
reviews.title,Trusted by Travelers,Дэлхий даяарх аялагчид,전 세계 여행자들이 신뢰하는,,,
reviews.title_italic,Worldwide,бидэнд итгэдэг,하나의 몽골,,,
reviews.reviews_label,reviews,сэтгэгдэл,개의 후기,,,
reviews.cta,See All Reviews,Бүх сэтгэгдлийг үзэх,모든 후기 보기,,,
reviewsPage.eyebrow,Traveler reviews,Аялагчдын сэтгэгдэл,여행자 후기,,,
reviewsPage.travelers_label,travelers,аялагч,명의 여행자,,,
reviewsPage.title_suffix,one Mongolia.,нэг Монгол.,하나의 몽골.,,,
reviewsPage.reviews_label,reviews,сэтгэгдэл,개의 후기,,,
reviewsPage.all_tours,All Tours,Бүх аялал,모든 투어,,,
reviewsPage.empty,No reviews yet.,Одоогоор сэтгэгдэл алга.,아직 후기가 없습니다.,,,
reviewsPage.prev,← Previous,← Өмнөх,← 이전,,,
reviewsPage.next,Next →,Дараах →,다음 →,,,
quote.line1,Silence,Чимээгүй байдал,고요함에도,,,
quote.line2,has,нь,소리가,,,
quote.line3,a sound.,дуутай.,있습니다.,,,
quote.cta,Discover Mongolia,Монголыг нээ,몽골 탐험하기,,,
journal.eyebrow,Journey Inspiration,Аяллын урам зориг,여행 영감,,,
journal.view_all,View All Articles,Бүх нийтлэлийг үзэх,모든 기사 보기,,,
journal.items[0].id,best-time,best-time,best-time,,,
journal.items[0].category,Travel Guide,Аяллын гарын авлага,여행 가이드,,,
journal.items[0].title,When is the Best Time to Visit Mongolia?,Монгол руу аялахад хамгийн тохиромжтой цаг хэзээ вэ?,몽골 여행하기 가장 좋은 시기는 언제일까요?,,,
journal.items[0].read_time,6,6,6,,,
journal.items[0].image,/images/article-1.jpg,/images/article-1.jpg,/images/article-1.jpg,,,
journal.items[1].id,10-things,10-things,10-things,,,
journal.items[1].category,Culture,Соёл,문화,,,
journal.items[1].title,10 Things You Didn't Know About Mongolia,Монголын тухай мэдэхгүй байсан 10 зүйл,몰랐던 몽골에 관한 10가지 사실,,,
journal.items[1].read_time,7,7,7,,,
journal.items[1].image,/images/article-2.jpg,/images/article-2.jpg,/images/article-2.jpg,,,
journal.items[2].id,horse-trekking,horse-trekking,horse-trekking,,,
journal.items[2].category,Adventure,Адал явдал,어드벤처,,,
journal.items[2].title,Horse Trekking Guide: Tips for Your Journey,Морин аялалын гарын авлага: Аяллын зөвлөмжүүд,승마 트레킹 가이드: 여행을 위한 팁,,,
journal.items[2].read_time,5,5,5,,,
journal.items[2].image,/images/article-3.jpg,/images/article-3.jpg,/images/article-3.jpg,,,
journal.read_label,min read,мин унших,분 읽기,,,
footer.tagline,"Private, tailor-made journeys across the last great wilderness. Ulaanbaatar, Mongolia.","Сүүлийн жинхэнэ зэрлэг байгаль дээрх хувийн, тусгайлан бэлтгэсэн аялал. Улаанбаатар, Монгол.",마지막 위대한 야생을 가로지르는 프라이빗 맞춤 여행. 몽골 울란바토르.,,,
footer.exploreHeading,Explore,Үзэх,둘러보기,,,
footer.companyHeading,Company,Компани,회사,,,
footer.links.tours,Tours,Тур,투어,,,
footer.links.aboutMongolia,About Mongolia,Монголын тухай,몽골 소개,,,
footer.links.airportTransfer,Airport transfer,Онгоцны буудлын үйлчилгээ,공항 픽업,,,
footer.links.carRental,Car rental,Машин түрээс,렌터카,,,
footer.links.partners,Partners,Хамтрагчид,파트너,,,
footer.links.reviews,Reviews,Сэтгэгдэл,후기,,,
footer.links.aboutUs,About us,Бидний тухай,회사 소개,,,
footer.links.journal,Journal,Блог,저널,,,
footer.links.contact,Contact,Холбоо барих,문의,,,
footer.newsletter.heading,Newsletter,Мэдээлэл авах,뉴스레터,,,
footer.newsletter.text,"Stories from the steppe, a few times a year.",Тал нутгийн түүхүүдийг жилд хэдэн удаа хүлээн аваарай.,"초원에서 전하는 이야기, 일 년에 몇 차례.",,,
footer.newsletter.placeholder,Email address,И-мэйл хаяг,이메일 주소,,,
footer.copyright,© 2026 E and S Discovery Mongolia. All rights reserved.,© 2026 E and S Discovery Mongolia. Бүх эрх хуулиар хамгаалагдсан.,© 2026 E and S Discovery Mongolia. All rights reserved.,,,
tourDetail.breadcrumb_tours,Tours,Тур,투어,,,
tourDetail.days_label,days,өдөр,일,,,
tourDetail.nights_label,nights,шөнө,박,,,
tourDetail.max_travellers,Max,Дээд тал нь,최대,,,
tourDetail.highlights,Highlights,Онцлох зүйлс,하이라이트,,,
tourDetail.good_to_know,Good to know,Мэдэж байх зүйлс,알아두면 좋은 정보,,,
tourDetail.day_by_day,Day by day,Өдөр тутмын хөтөлбөр,일정표,,,
tourDetail.day_label,Day,Өдөр,일차,,,
tourDetail.activities,Activities,Үйл ажиллагаа,액티비티,,,
tourDetail.accommodation,Accommodation,Байрлах газар,숙박,,,
tourDetail.meals,Meals,Хоол,식사,,,
tourDetail.traveller_singular,traveller,аялагч,명,,,
tourDetail.traveller_plural,travellers,аялагч,명,,,
tourDetail.book_now,Book now,Захиалах,지금 예약,,,
tourDetail.or,or,эсвэл,또는,,,
tourDetail.see_open_departures,see open departures,нээлттэй аяллуудыг харах,예정된 출발일 보기,,,
tourDetail.free_cancellation,Free cancellation up to 30 days before,30 хоногийн өмнө үнэгүй цуцлах боломжтой,출발 30일 전까지 무료 취소,,,
tourDetail.whats_included,What's included,Юу багтсан бэ,포함 사항,,,
tourDetail.you_may_also_like,You may also like,Танд таалагдаж магадгүй,이런 여행도 좋아하실 거예요,,,
tourDetail.view_all_tours,View all tours →,Бүх аяллыг үзэх →,모든 투어 보기 →,,,
tourDetail.best_season_label,Best season,Хамгийн тохиромжтой улирал,최적의 계절,,,
tourDetail.difficulty_label,Difficulty,Хүндрэлийн түвшин,난이도,,,
toursPage.meta_title,Our Tours — E & S Discovery Mongolia,Бидний аяллууд — E & S Discovery Mongolia,투어 — E & S 디스커버리 몽골,,,
toursPage.meta_description,"Small-group and private expeditions across Mongolia, shaped by the land and the people who know it best.",Монголыг хамгийн сайн мэддэг хүмүүсийн бүтээсэн бага бүлгийн болон хувийн экспедицүүд.,몽골의 땅과 그곳을 가장 잘 아는 사람들이 만든 소규모 및 프라이빗 원정 투어.,,,
toursPage.hero_eyebrow,Journeys across Mongolia,Монгол даяар аялал,몽골을 가로지르는 여행,,,
toursPage.hero_title_prefix,Our,Бидний,우리의,,,
toursPage.hero_title_italic,Tours,аяллууд,투어,,,
toursPage.hero_subtext,Small-group and private expeditions shaped by the land and the people who know it best. Find the journey that's yours.,"Газар нутаг, түүнийг хамгийн сайн мэддэг хүмүүсийн бүтээсэн бага бүлгийн болон хувийн экспедицүүд. Танд тохирох аяллаа ол.",몽골의 땅과 그곳을 가장 잘 아는 사람들이 만든 소규모 및 프라이빗 원정 투어. 당신만의 여행을 찾아보세요.,,,
toursPage.journeys_found,Journeys found,аялал олдлоо,개의 여행,,,
toursPage.duration_chips[0],1–5 days,1–5 өдөр,1–5일,,,
toursPage.duration_chips[1],6–10 days,6–10 өдөр,6–10일,,,
toursPage.duration_chips[2],11 days +,11+ өдөр,11일 이상,,,
toursPage.region_chips[0],Gobi,Говь,고비,,,
toursPage.region_chips[1],Central,Төв,중앙,,,
toursPage.region_chips[2],North,Хойд,북부,,,
toursPage.region_chips[3],West,Баруун,서부,,,
toursPage.type_chips[0],Cultural,Соёлын,문화,,,
toursPage.type_chips[1],Adventure,Адал явдал,어드벤처,,,
toursPage.type_chips[2],Festival,Наадам,축제,,,
toursPage.type_chips[3],Group,Бүлгийн,그룹,,,
toursPage.sort_chips[0],Top rated,Шилдэг үнэлгээтэй,평점 높은 순,,,
toursPage.sort_chips[1],Price: low to high,Үнэ: багаас их рүү,가격 낮은 순,,,
